Failure Name,NGA_Link,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
1e62ebf7,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/1e62ebf7-9828-4169-a584-68d58f01edfe,ba05wvaw0232,RebootStation,,DefaultFlowBasicTest,1e62ebf7-9828-4169-a584-68d58f01edfe,NA,,[]
e1c074d3,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/e1c074d3-2655-4966-af83-b2455197fccf,ba05wvaw0278,PostTest,04367be9-e832-4e0a-a326-99183de56414,CI_GNR_D_DF,e1c074d3-2655-4966-af83-b2455197fccf,NA,https://axonsv.app.intel.com/apps/record-viewer/04367be9-e832-4e0a-a326-99183de56414,"['HW.CORR', 'HW.ERR', 'HW.CFG.ERR', 'HW']"
e8b70b56,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/e8b70b56-9fc1-4460-8890-8a80b1ac09f3,ba05wvaw0236,PreBoot,c99f2e9f-2dc4-4960-80a6-99b03ec9981d,CI_GNR_D_DF,e8b70b56-9fc1-4460-8890-8a80b1ac09f3,NA,https://axonsv.app.intel.com/apps/record-viewer/c99f2e9f-2dc4-4960-80a6-99b03ec9981d,"['HW.ERR', 'HW', 'HW.CFG.ERR', 'HW.CORR']"
0f8e3856,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/0f8e3856-4845-47ec-aad4-7f2e226a99d3,ba05wvaw0219,PreBoot,,DefaultFlowBasicTest,0f8e3856-4845-47ec-aad4-7f2e226a99d3,NA,,[]
0724f175,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/0724f175-7e8f-4cd5-979f-559104b0f2f7,ba05wvaw0270,PreBoot,,DefaultFlowBasicTest,0724f175-7e8f-4cd5-979f-559104b0f2f7,NA,,[]
6ec0af27,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/6ec0af27-de6e-4c15-9d21-730b6cf2c0da,ba05wvaw0250,PreBoot,,DefaultFlowBasicTest,6ec0af27-de6e-4c15-9d21-730b6cf2c0da,NA,,[]
55dcd619,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/55dcd619-27de-42de-9f68-852c59880117,ba05wvaw0219,PreBoot,,DefaultFlowBasicTest,55dcd619-27de-42de-9f68-852c59880117,NA,,[]
261dfa20,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/261dfa20-7638-4b6f-83bc-96b4222c646a,ba05wvaw0244,PreBoot,053969c6-8685-4510-834a-8a722875552d,CI_GNR_D_DF,261dfa20-7638-4b6f-83bc-96b4222c646a,NA,https://axonsv.app.intel.com/apps/record-viewer/053969c6-8685-4510-834a-8a722875552d,"['HW.CORR', 'HW.CFG.ERR', 'HW.MCE', 'HW', 'HW.ERR']"
8b875fce,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/8b875fce-38cb-456e-ade5-1c7356668771,ba05wvaw0239,PreBoot,,DefaultFlowBasicTest,8b875fce-38cb-456e-ade5-1c7356668771,NA,,[]
16035f7d,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/16035f7d-ca0a-4d5d-a1a3-f4b2a3c178bf,ba05wvaw0241,PreBoot,,DefaultFlowBasicTest,16035f7d-ca0a-4d5d-a1a3-f4b2a3c178bf,NA,,[]
